game_id,title,positive_rate
939360,Pixel FX Designer,0.8333333333333334
939400,LoveChoice   ,0.8780487804878049
939450,Forklift Simulator 2019,1.0
939000,Crisis VRigade,0.8813559322033898
939180,Hentai Legends,0.6470588235294118
938300,CuberPunk 2089,0.6
937850,Hidden Paws Mystery,1.0
936610,Of Gods and Men: The Daybreak Empire,0.8823529411764706
936650,Space Pilgrim Academy: Year 3,1.0
936720,Wrench,0.8695652173913043
936160,Atelier Rorona  The Alchemist of Arland  DX,0.8421052631578947
935560,Hentai Strip Shot,1.0
935580,True Fear: Forsaken Souls Part 2,0.875
935930,Reignfall,0.7727272727272727
935270,Great Hero's Beard,0.9245283018867925
935070,Sakura MMO,0.7857142857142857
934540,Pleasure Puzzle:Sexy Girls,0.6
933880,Thick Light 2,1.0
934070,MochiMochi,1.0
933700,Death Trader: Cold War,0.5555555555555556
933450,Wenjia,0.6153846153846154
933080,Fire Place,0.5625
932850,Simmiland,0.8509316770186336
932980,Axis Football 2018,0.69
932500,Damned Daniel,0.9795918367346939
931930,The Haunted Graveyard,0.92
931500,Touhou Genso Wanderer  Reloaded            TOD  RELOADED           TOD  RELOADED ,0.9666666666666667
930780,Blood Card,0.803921568627451
930460,BOLSOMITO,0.8823529411764706
929270,ViewTracker,0.5833333333333334
929300,Chroma : Sexy Hentai Girls,0.9
928840,Cybarian: The Time Travelling Warrior,0.7142857142857143
928390,R Type Dimensions EX,0.8846153846153846
927810,Squares Puzzle,0.7857142857142857
927730,3D Earth Time Lapse PC Live Wallpaper,0.782608695652174
927270,Accounting ,0.7555555555555555
926140,CHANGE: A Homeless Survival Experience,0.9166666666666666
925930,Myst III: Exile,1.0
925340,A Winter's Daydream,1.0
925520,Welcome To Bummertown,0.6666666666666666
925550,Cross Racing Championship Extreme,1.0
924900,One Gun: Cat,0.9
924940,Guard of Wonderland,1.0
924650,               Violet Detector.,0.8695652173913043
924280,BingoBango,1.0
923890,Yet another tower defence,0.5454545454545454
923260,Golf Peaks,1.0
923470,MOMO.EXE,0.85
923590,Forebearers,0.5294117647058824
921970,Liberty Prime,0.5
921500,Jack Is Missing,0.5
921530,Demon King Domination: Deluxe Edition,0.6428571428571429
921780,The Dark Occult,0.5454545454545454
921390,    Wushu Chronicles ,0.5882352941176471
920460,Hentai Space,0.8148148148148148
920680,Fate Hunters,0.7924528301886793
918900,Girls Dance VR,0.5454545454545454
918990,Gladio,0.8260869565217391
918380,Choice of Magics,0.9242424242424242
918430,Second Second,0.8125
918530,The Dark Room,0.961038961038961
917740,Mandy's Room,0.8333333333333334
917920,The Other Half,0.9130434782608695
917290,Duck Souls,0.9655172413793104
916900,Paperbark,1.0
916930,Red Crucible 2: Reborn,0.5578947368421052
916580,Hentai Puzzle X,0.9
916040,SFD,1.0
916060,Loca Love My Cute Roommate,0.8571428571428571
915460,ULTIMATE HARDBASS DEFENCE,0.9252336448598131
914850,HENTAI PUZZLE,1.0
